=== MAIN PIPELINE BACKTEST — SUMMARY (gemini-2.5-flash-lite) ===
llm_directional_accuracy_pct,48.89
llm_signal_sensitivity_pct,15.57
llm_total_signals,45
llm_buy_signals,45
llm_sell_signals,0
llm_correct_signals,22
llm_correct_profitable,4
llm_avg_net_pnl_thb,-67.95
llm_rejected_by_risk,0
llm_avg_confidence,0.671
final_note,all HOLD
risk_initial_portfolio_thb,1500.0
risk_final_portfolio_thb,1500.0
risk_total_return_pct,0.0
risk_annualized_return_pct,0.0
risk_annualized_reliable,False
risk_annualized_volatility_pct,0.0
risk_mdd_pct,0.0
risk_mdd_peak_timestamp,2026-04-01 19:55:00
risk_mdd_trough_timestamp,2026-04-01 19:55:00
risk_sharpe_ratio,0.0
risk_sortino_ratio,-269.399
risk_candles_total,289
risk_periods_per_year,72576
risk_risk_free_rate_pct,2.0
session_compliance_total_sessions,8
session_compliance_passed_sessions,0
session_compliance_failed_sessions,5
session_compliance_no_data_sessions,3
session_compliance_compliance_pct,0.0
session_compliance_session_fail_flag,True
trade_note,no closed trades
trade_total_trades,0
trade_winning_trades,0
trade_losing_trades,0
trade_win_rate_pct,0.0
trade_profit_factor,0.0
trade_avg_win_thb,0.0
trade_avg_loss_thb,0.0
trade_expectancy_thb,0.0
trade_max_consec_wins,0
trade_max_consec_losses,0
trade_gross_profit_thb,0.0
trade_gross_loss_thb,0.0
trade_net_pnl_thb,0.0
trade_total_cost_thb,0.0
trade_largest_win_thb,0.0
trade_largest_loss_thb,0.0
trade_calmar_ratio,0.0

=== DETAILED SIGNAL LOG ===
timestamp,close_thai,portfolio_total_value,portfolio_cash,portfolio_gold_grams,actual_direction,price_change,net_pnl_thb,news_sentiment,llm_signal,llm_confidence,llm_rationale,llm_correct,llm_profitable,final_signal,final_confidence,final_correct,final_profitable,rejection_reason,position_size_thb,stop_loss,take_profit,iterations_used,from_cache,session_id,can_execute
2026-04-01 19:55:00,73641.0,1500.0,1500.0,0.0,UP,24.0,-99.0,0.0,HOLD,0.5,"RSI is neutral at 61.57. MACD histogram is negative. Price is above EMAs, indicating an uptrend, but not enough bullish signals for a buy.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:00:00,73665.0,1500.0,1500.0,0.0,UP,92.0,-31.0,0.0,HOLD,0.4,"RSI (65.37) is high, MACD histogram is negative, indicating bearish momentum despite uptrend. No clear buy signal.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:05:00,73757.0,1500.0,1500.0,0.0,DOWN,-75.0,-198.0,0.0,HOLD,0.4,RSI high (66.59) and MACD bearish (-7.52) suggest caution despite uptrend. No clear buy signal.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:10:00,73682.0,1500.0,1500.0,0.0,DOWN,-13.0,-136.0,0.0,HOLD,0.4,"RSI is overbought at 70.83 and MACD histogram is negative, indicating bearish pressure. Trend remains up, but caution is advised.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:15:00,73669.0,1500.0,1500.0,0.0,UP,54.0,-69.0,0.0,HOLD,0.4,"RSI is neutral, MACD is bearish, and price is above EMAs. No clear bullish setup to buy.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:20:00,73723.0,1500.0,1500.0,0.0,DOWN,-10.0,-133.0,0.0,HOLD,0.5,"RSI is neutral, MACD is bearish, and price is above EMA20. No clear bullish or bearish setup.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:25:00,73713.0,1500.0,1500.0,0.0,DOWN,-24.0,-147.0,0.0,HOLD,0.5,"RSI at 65.4, MACD bearish, but price above EMA20 in uptrend. No clear signal.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:30:00,73689.0,1500.0,1500.0,0.0,UP,27.0,-96.0,0.0,HOLD,0.5,"RSI is neutral (64.43) and MACD histogram is bearish (-5.30). Trend is uptrend, but no strong bullish signals.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:35:00,73716.0,1500.0,1500.0,0.0,DOWN,-15.0,-138.0,0.0,HOLD,0.3,"RSI is neutral, MACD bearish. Trend is uptrend but showing weakness. No clear buy setup.",False,False,HOLD,0.3,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:40:00,73701.0,1500.0,1500.0,0.0,FLAT,0.0,-123.0,0.0,BUY,0.65,"RSI 63.67 neutral, MACD hist -8.795 bearish, price below EMA20. Uptrend but weak momentum. Wait for better setup.",False,False,HOLD,0.65,True,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
